"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"Adres";"Categorie_naam";"Categorie_nummer";"Categorie_status";"Datum";"Status";"Subrubriek";"categorie_2";"id_2";"opmerking";"title";"url"
"MORA-0510131";"mora_0510131";"1";"274";"";"2015-09-21 00:00:00";"Willemskerkestraat 7";"";"";"POINT (4.79343272958 52.3627275737)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Willemskerkestraat 7";"Afval";"9170";"Afval - In behandeling";"21-09-2015";"In behandeling";"Puin / sloopafval";"9170";"point_3437253";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0510131";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0510131/?ajax=true&summary=balloon"
"MORA-0920987";"mora_0920987_1";"1";"274";"";"2016-12-28 00:00:00";"Jarmuiden 30";"";"";"POINT (4.7918097832 52.3906713794)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Jarmuiden 30";"Afval";"9170";"Afval - Nieuw";"28-12-2016";"Nieuw";"Grofvuil";"9170";"point_3676014";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0920987";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0920987/?ajax=true&summary=balloon"
"MORA-0947515";"mora_0947515";"1";"274";"";"2017-02-14 00:00:00";"Lutkemeerweg 21";"";"";"POINT (4.77905557694 52.3683888015)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Lutkemeerweg 21";"Afval";"9170";"Afval - In behandeling";"14-02-2017";"In behandeling";"Grofvuil";"9170";"point_3694400";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0947515";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0947515/?ajax=true&summary=balloon"
"MORA-0825650";"mora_0825650";"1";"274";"";"2016-09-14 00:00:00";"Ookmeerweg 2";"";"";"POINT (4.80248499671 52.366529525)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Ookmeerweg 2";"Afval";"9170";"Afval - In behandeling";"14-09-2016";"In behandeling";"Puin / sloopafval";"9170";"point_3620920";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0825650";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0825650/?ajax=true&summary=balloon"
"MORA-0910031";"mora_0910031_1";"1";"274";"";"2016-12-11 00:00:00";"Martini van Geffenstraat 49";"";"";"POINT (4.80305077203 52.3581287384)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Martini van Geffenstraat 49";"Afval";"9170";"Afval - In behandeling";"11-12-2016";"In behandeling";"Puin / sloopafval";"9170";"point_3658525";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0910031";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0910031/?ajax=true&summary=balloon"
"MORA-0524886";"mora_0524886_1";"1";"274";"";"2015-10-07 00:00:00";"Koningin Wilhelminaplein 12";"";"";"POINT (4.83662880745 52.3553147263)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Koningin Wilhelminaplein 12";"Afval";"9170";"Afval - Nieuw";"07-10-2015";"Nieuw";"Bedrijfsafval";"9170";"point_3441396";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0524886";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0524886/?ajax=true&summary=balloon"
"MORA-0467088";"mora_0467088";"1";"274";"";"2015-08-03 00:00:00";"Burgemeester Van de Pollstraat 92";"";"";"POINT (4.83372022153 52.3754966568)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Burgemeester Van de Pollstraat 92";"Afval";"9170";"Afval - Nieuw";"03-08-2015";"Nieuw";"Veeg- / zwerfvuil";"9170";"point_3422749";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0467088";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0467088/?ajax=true&summary=balloon"
"MORA-0758374";"mora_0758374_1";"1";"274";"";"2016-07-07 00:00:00";"Jan Tooropstraat 83";"";"";"POINT (4.83619592165 52.3653520475)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Jan Tooropstraat 83";"Afval";"9170";"Afval - In behandeling";"07-07-2016";"In behandeling";"Overig";"9170";"point_3591294";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0758374";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0758374/?ajax=true&summary=balloon"
"MORA-0758262";"mora_0758262_1";"1";"274";"";"2016-07-07 00:00:00";"Hermanus Coenradistraat 27";"";"";"POINT (4.83417186505 52.3781411621)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Hermanus Coenradistraat 27";"Afval";"9170";"Afval - In behandeling";"07-07-2016";"In behandeling";"Bedrijfsafval";"9170";"point_3591697";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0758262";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0758262/?ajax=true&summary=balloon"
"MORA-0902399";"mora_0902399_1";"1";"274";"";"2016-12-03 00:00:00";"Van Ollefenstraat 9";"";"";"POINT (4.82533286626 52.3547852929)";"";"";"";"";"";"";"";"";"0";"2017-06-07 09:06:04";"2017-06-07 09:06:42";"0000-00-00 00:00:00";"Openstaand";"Van Ollefenstraat 9";"Afval";"9170";"Afval - In behandeling";"03-12-2016";"In behandeling";"Bedrijfsafval";"9170";"point_3653497";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0902399";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0902399/?ajax=true&summary=balloon"
