"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"Adres";"Categorie_naam";"Categorie_nummer";"Categorie_status";"Datum";"Status";"Subrubriek";"categorie_2";"id_2";"opmerking";"title";"url"
"MORA-0604728";"mora_0604728_1";"1";"276";"";"2016-01-11 00:00:00";"Lutkemeerweg 194";"";"";"POINT (4.7699980394 52.3619156474)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:10";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Lutkemeerweg 194";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"11-01-2016";"In behandeling";"Onderhoud stoep, straat en fietspad";"9172";"point_3478774";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0604728";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0604728/?ajax=true&summary=balloon"
"MORA-0847246";"mora_0847246_1";"1";"276";"";"2016-10-05 00:00:00";"Ookmeerweg 501";"";"";"POINT (4.76952799118 52.3545521733)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:10";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Ookmeerweg 501";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"05-10-2016";"In behandeling";"Verkeersoverlast / Verkeerssituaties";"9172";"point_3630453";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0847246";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0847246/?ajax=true&summary=balloon"
"MORA-0907626";"mora_0907626_1";"1";"276";"";"2016-12-08 00:00:00";"Lutkemeerweg 220";"";"";"POINT (4.76834296634 52.361637372)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:10";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Lutkemeerweg 220";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"08-12-2016";"In behandeling";"Onderhoud stoep, straat en fietspad";"9172";"point_3655830";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0907626";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0907626/?ajax=true&summary=balloon"
"MORA-0240023";"mora_0240023_1";"1";"276";"";"2014-10-15 00:00:00";"Pyreneeën 1";"";"";"POINT (4.77343888168 52.3498449217)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:10";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Pyreneeën 1";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"15-10-2014";"In behandeling";"Brug";"9172";"point_3289953";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0240023";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0240023/?ajax=true&summary=balloon"
"MORA-0505639";"mora_0505639";"1";"276";"";"2015-09-15 00:00:00";"La Meye 12";"";"";"POINT (4.77252011183 52.3525994166)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:10";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"La Meye 12";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"15-09-2015";"In behandeling";"Put / riolering verstopt";"9172";"point_3436112";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0505639";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0505639/?ajax=true&summary=balloon"
"MORA-0334386";"mora_0334386_1";"1";"276";"";"2015-02-17 00:00:00";"Langswater 392";"";"";"POINT (4.78966465762 52.3558149705)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:10";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Langswater 392";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"17-02-2015";"In behandeling";"Overig";"9172";"point_3355698";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0334386";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0334386/?ajax=true&summary=balloon"
"MORA-0228350";"mora_0228350_1";"1";"276";"";"2014-09-29 00:00:00";"Dijkgraafplein 1";"";"";"POINT (4.78754157429 52.3554177579)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:11";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Dijkgraafplein 1";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - Nieuw";"29-09-2014";"Nieuw";"Onderhoud stoep, straat en fietspad";"9172";"point_3286445";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0228350";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0228350/?ajax=true&summary=balloon"
"MORA-0153306";"mora_0153306_1";"1";"276";"";"2014-06-05 00:00:00";"Rijsdrechthof 10";"";"";"POINT (4.78508074261 52.3561153022)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:11";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Rijsdrechthof 10";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"05-06-2014";"In behandeling";"Verkeersbord, verkeersafzetting";"9172";"point_3198838";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0153306";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0153306/?ajax=true&summary=balloon"
"MORA-0201157";"mora_0201157_1";"1";"276";"";"2014-08-21 00:00:00";"Brisselkerkstraat 10";"";"";"POINT (4.79485606913 52.3583846118)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:11";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Brisselkerkstraat 10";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"21-08-2014";"In behandeling";"Onderhoud stoep, straat en fietspad";"9172";"point_3277607";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0201157";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0201157/?ajax=true&summary=balloon"
"MORA-0201164";"mora_0201164_1";"1";"276";"";"2014-08-21 00:00:00";"Borrendammehof 1";"";"";"POINT (4.793796549 52.3585770366)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:06:11";"2017-06-03 10:07:04";"0000-00-00 00:00:00";"Openstaand";"Borrendammehof 1";"Openbare ruimte & overlast";"9172";"Openbare ruimte & overlast - In behandeling";"21-08-2014";"In behandeling";"Onderhoud stoep, straat en fietspad";"9172";"point_3277452";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0201164";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0201164/?ajax=true&summary=balloon"
