"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"Adres";"Categorie_naam";"Categorie_nummer";"Categorie_status";"Datum";"Status";"Subrubriek";"categorie_2";"id_2";"opmerking";"title";"url"
"MORA-0932895";"mora_0932895";"1";"277";"";"2017-01-17 00:00:00";"Tom Schreursweg 102";"";"";"POINT (4.75957678227 52.3814722332)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Tom Schreursweg 102";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - In behandeling";"17-01-2017";"In behandeling";"Stank- / geluidsoverlast";"9173";"point_3684495";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0932895";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0932895/?ajax=true&summary=balloon"
"MORA-0334099";"mora_0334099";"1";"277";"";"2015-02-17 00:00:00";"Osdorperweg";"";"";"POINT (4.75917770369 52.381649873)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Osdorperweg";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - Nieuw";"17-02-2015";"Nieuw";"Overig";"9173";"point_3355641";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0334099";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0334099/?ajax=true&summary=balloon"
"MORA-0337167";"mora_0337167";"1";"277";"";"2015-02-20 00:00:00";"Limmerick 17";"";"";"POINT (4.77490975467 52.3900369585)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Limmerick 17";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - Nieuw";"20-02-2015";"Nieuw";"Hinderlijk geplaatst object";"9173";"point_3356499";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0337167";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0337167/?ajax=true&summary=balloon"
"MORA-0675349";"mora_0675349";"1";"277";"";"2016-04-07 00:00:00";"Lutkemeerweg 6";"";"";"POINT (4.77829531627 52.3692207583)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Lutkemeerweg 6";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - In behandeling";"07-04-2016";"In behandeling";"Bouw- / sloopoverlast";"9173";"point_3532221";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0675349";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0675349/?ajax=true&summary=balloon"
"MORA-0680810";"mora_0680810";"1";"277";"";"2016-04-14 00:00:00";"Groezestraat 8";"";"";"POINT (4.78231950709 52.3583841274)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Groezestraat 8";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - In behandeling";"14-04-2016";"In behandeling";"Overig";"9173";"point_3535519";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0680810";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0680810/?ajax=true&summary=balloon"
"MORA-0681471";"mora_0681471";"1";"277";"";"2016-04-14 00:00:00";"Jan Rebelstraat 20";"";"";"POINT (4.7858558284 52.3617456079)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Jan Rebelstraat 20";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - In behandeling";"14-04-2016";"In behandeling";"Stank- / geluidsoverlast";"9173";"point_3535494";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0681471";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0681471/?ajax=true&summary=balloon"
"MORA-0635519";"mora_0635519_1";"1";"277";"";"2016-02-18 00:00:00";"Portsmuiden 46";"";"";"POINT (4.78512332969 52.3897567765)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Portsmuiden 46";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - Nieuw";"18-02-2016";"Nieuw";"Overig";"9173";"point_3641890";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0635519";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0635519/?ajax=true&summary=balloon"
"MORA-0887779";"mora_0887779";"1";"277";"";"2016-11-18 00:00:00";"Osdorperweg 547";"";"";"POINT (4.78336269711 52.3669458384)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Osdorperweg 547";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - In behandeling";"18-11-2016";"In behandeling";"Overig";"9173";"point_3647484";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0887779";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0887779/?ajax=true&summary=balloon"
"MORA-0901726";"mora_0901726";"1";"277";"";"2016-12-02 00:00:00";"Portsmuiden 39";"";"";"POINT (4.78231729891 52.390847971)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Openstaand";"Portsmuiden 39";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - In behandeling";"02-12-2016";"In behandeling";"Parkeeroverlast";"9173";"point_3653345";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0901726";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0901726/?ajax=true&summary=balloon"
"MORA-0937358";"mora_0937358_1";"1";"277";"";"2017-01-25 00:00:00";"Doblijn 26";"";"";"POINT (4.77432578701 52.389773293)";"";"";"";"";"";"";"";"";"0";"2017-06-03 10:07:38";"2017-06-03 10:07:53";"0000-00-00 00:00:00";"Opgelost";"Doblijn 26";"Wegen, verkeer & straatmeubilair";"9173";"Wegen, verkeer & straatmeubilair - Doorgestuurd naar externe partij";"25-01-2017";"Doorgestuurd naar externe partij";"Auto- / scooter- / bromfiets(wrak)";"9173";"point_3686698";"Deze melding wordt één keer per dag om 09.00 uur bijgewerkt. De afgehandelde melding blijven nog acht dagen op deze kaart staan. Daarna worden ze verwijderd.";"MORA-0937358";"http://www.opdekaart.amsterdam.nl/mor/items/mora-0937358/?ajax=true&summary=balloon"
